club,last_name,first_name,position,base_salary,guaranteed_compensation
MTL,Shome,Shamit,M,100000.08,128500.08
MTL,Tabla,Ballou Jean-Yves,M,70000,78999.8
NE,Agudelo,Juan,F,475000,502500
NE,Angoua,Benjamin,D,600000,654333.33
NE,Bunbury,Teal,F,215000,260000
NE,Caldwell,Scott,M,115000,125000
NE,Cropper,Cody,F,65625,65625
NE,Fagundez,Diego,M,160000,180000
NE,Farrell,Andrew,D,182600,263600
NE,Herivaux,Zachary,M,65625,65625
NE,Hollinger-Janzen,Femi,F,54075,54075
NE,Kamara,Kei,F,800000,800000
NE,Knighton,Brad,GK,100910.25,100910.25
NE,Kobayashi,Daigo,M,69996,76996
NE,Kouassi,Xavier,M,840000,890541.75
NE,Mlinar Delamea,Antonio,D,400008,400008
NE,Nguyen,Lee,,500000,500000
NE,Rowe,Kelyn,M,165000,230000
NE,Smith,Donnie,M,66150,66150
NE,Smith,Joshua,D,53004,53004
NE,Tierney,Chris,D-M,140000,148333.33
NE,Turner,Matt,GK,54075,54075
NE,Watson,Je-Vaughn,D-M,150000,155666.67
NE,Woodberry,London,D,69300,69300
NE,Wright,Brian,F,65625,84375
NYCFC,Allen,RJ,D,100000.08,101666.75
NYCFC,Awuah,Kwame,D-M,53004,53004
NYCFC,Brilliant,Frederic,D,280000,319666.67
NYCFC,Callens,Alexander,D,180000,180000
NYCFC,Camargo,Miguel,M,99999.96,108249.96
NYCFC,Chanot,Maxime,D,350000,383000
NYCFC,Diskerud,Mix,M,772669,772669
NYCFC,Gomez,Shannon,D,54075,54075
NYCFC,Harrison,Jack,M,130000,165500
NYCFC,Herrera,Yangel,M,123557.04,123557.04
NYCFC,Johansen,Eirik,GK,65625,65625
NYCFC,Johnson,Sean,GK,220008,220008
NYCFC,Lewis,Jonathan,F,80000.04,115500.04
NYCFC,Lopez,Mikey,M,75000,75000
NYCFC,Matarrita,Ronald,D,175000,200000
NYCFC,McNamara,Thomas,M,185000.04,185000.04
NYCFC,Mena,Jefferson,D,250000,261400
NYCFC,Moralez,Maximiliano,M,2000000.04,2000000.04
NYCFC,Okoli,Sean,F,52999.92,52999.92
NYCFC,Pirlo,Andrea,M,5600000,5915690
NYCFC,Rawls,Andre,GK,65633.4,65633.4
NYCFC,Ring,Alexander,M,340000.08,376666.75
NYCFC,Shelton,Khiry,F,92950,110450
NYCFC,Stertzer,John,M,65000,65000
NYCFC,Sweat,Ben,D,65004,65004
NYCFC,Villa,David,F,5610000,5610000
NYCFC,Wallace,Rodney,M,220000.08,220000.08
NYCFC,White,Ethan,D,65000,65000
NYRB,Abang,Anatole,F,65625,65625
NYRB,Adams,Tyler,M,75000,91041.67
NYRB,Allen,Brandon,F,65625,65625
NYRB,Baah,Gideon,D,230000,315500
NYRB,Basuljevic,Arun,M,53004,53004
NYRB,Bilyeu,Justin,D,54075,54075
NYRB,Collin,Aurelien,D,450000,450000
NYRB,Davis,Sean,M,110000,127500
NYRB,Etienne,Derrick,M,53000,58000
NYRB,Grella,Mike,F,186000,188250
NYRB,Gulbrandsen,Fredrik,F,360000,360000
NYRB,Kljestan,Sacha,M,650000,787500
NYRB,Lade,Connor,D,85000,92812.5
NYRB,Lawrence,Kemar,D,100000,205600
NYRB,Lewis,Zeiko,M,75000,93750
NYRB,Long,Aaron,D,65000,65000
NYRB,Martins,Felipe,M,275000,305000
NYRB,Meara,Ryan,GK,100008,105008
NYRB,Metzger,Dan,M,53004,53004
NYRB,Murillo,Michael,D,65004,73754
NYRB,Muyl,Alex,F,65625,69625
NYRB,N'dam,Hassan,D,53004,53004
NYRB,Perrinelle,Damien,D,175008,175008
NYRB,Robles,Luis,GK,290000,292500
NYRB,Royer,Daniel,M,450000,450000
NYRB,Veron,Gonzalo,M-F,500000,500000
NYRB,Wright-Phillips,Bradley,F,1500000,1635000
NYRB,Zizzo,Sal,M,110000,110000
ORL,Aja,Jose,D,216000,216000
ORL,Alston,Kevin,D,135000,135000
ORL,Barnes,Giles,F-M,725000,781250
ORL,Barry,Hadji,F,68750,73312.5
ORL,Bendik,Joe,GK,165000,174083.4
ORL,Carrasco,Servando,M,114996,114996
ORL,Da Silva,Pierre,M,53004,53004
ORL,Donovan,Conor,D,100000,128000
ORL,Edwards,Earl,GK,65000,65000
ORL,Garcia,Devron,M-F,53004,53004
ORL,Gil,Luis,M,144000,144000
ORL,Giro,Victor,D-M,80004,85316.5
ORL,Higuita,Cristian,M,150000,150000
ORL,Hines,Sebastian,D,129996,129996
ORL,Johnson,Will,M,414000,450000
ORL,Kaka,,M,6660000,7167500
ORL,Larin,Cyle,F,150000,192000
ORL,Laryea,Richmond,M,130000,159000
ORL,Nocerino,Antonio,M,800000,850000
ORL,Perez,Matias,F,260004,260004
ORL,Ramos,Rafael,D,100800,100800
ORL,Redding,Tommy,D,110000,117500
ORL,Rivas,Carlos,M,375000,375000
ORL,Rocha,Tony,M,65620.8,65620.8
ORL,Sane,Moussa,F,53004,53004
ORL,Saunders,Josh,GK,150000,150000
ORL,Spector,Jonathan,D,549996,611933.5
ORL,Stajduhar,Mason,GK,53000,53000
ORL,Sutter,Scott,D,240000,240000
ORL,Toia,Donny,D,70875,70875
PHI,Alberg,Roland,M,345000,394250
PHI,Ayuk,Eric,M,65625,65625
PHI,Bedoya,Alejandro,M,1131000,1197250
PHI,Blake,Andre,GK,148500,186500
PHI,Carroll,Brian,M,132000,140000
PHI,Creavalle,Warren,M,125000,138000
PHI,Davies,Charlie,F,108960,114684.94
PHI,Edu,Maurice,M,750000,818750
PHI,Elliott,Jack,D,53004,53004
PHI,Epps,Marcus,M,53004,53004
PHI,Fabinho,Fabinho,D,159759,167759
PHI,Gaddis,Raymon,D,165000,167500
PHI,Herbers,Fabian,M-F,110000,135500
PHI,Ilsinho,,M,470000,518333.33
PHI,Jones,Aaron,D,53004,53004
PHI,Jones,Derrick,M,65000,70900
PHI,Marquez,Richard,D,133000,139430
PHI,McCarthy,John,GK,86500,95750
PHI,McGuire,Jake,GK,53004,53004
PHI,Medunjanin,Haris,,460008,505008
PHI,Najem,Adam,M,65000.04,65000.04
PHI,Onyewu,Oguchi,D,65004,65004
PHI,Picault,Fabrice,F,114999.96,128666.63
PHI,Pontius,Chris,M-F,400000,431000
PHI,Rosenberry,Keegan,D,104500,110312.5
PHI,Sapong,CJ,F,300000,300000
PHI,Simpson,Jay,F,465000,508333.33
PHI,Tribbett,Ken,D,65000,65000
PHI,Trusty,Auston,D,75000,104100
PHI,Wijnaldum,Giliano,D,65004,78337.33
PHI,Yaro,Joshua,D,130000,194000
POR,Adi,Fanendo,F,1190004,1736254
POR,Andriuskevicius,Vytautas,D,222500,244375
POR,Arboleda,Victor,M-F,65000.04,65000.04
POR,Arokoyo,Gbenga,D,135000,155600
POR,Asprilla,Dairon,M-F,138000,138000
POR,Attinella,Jeff,GK,100000,105083.33
POR,Barmby,Jack,M-F,65004,65004
POR,Blanco,Sebastian,M,1000008,1075008
POR,Chara,Diego,M,500000,522000
POR,Clarke,Rennico,D,53004,58004
POR,Ebobisse,Jeremy,F,130000,173000
POR,Farfan,Marco,D,53000,53000
POR,Gleeson,Jake,GK,110000,115166.67
POR,Guzman,David,M,185004,188337.33
POR,Mattocks,Darren,F,300000,316666.67
POR,McIntosh,Kendall,GK,53000,53000
POR,Melano,Lucas,F,790000,1010000
POR,Miller,Roy,D,150000,150000
POR,Myers,Chance,D,125004,125004
POR,Nagbe,Darlington,M/F,550000,565000
POR,Okugo,Amobi,D-M,65004,187941.5
POR,Olum,Lawrence,M,142500,157500
POR,Powell,Alvas,D,115000,123700
POR,Ridgewell,Liam,D,615000,615000
POR,Valentin,Zarek,D,110000,110000
POR,Valeri,Diego,M,2227500,2607500
POR,Zemanski,Ben,M,105000,109000
RSL,Acosta,Danilo,M,65625,65625
RSL,Allen,Jordan,M,178000,178000
RSL,Barrett,Chad,F,99000,105000
RSL,Beckerman,Kyle,M,750000,825000
RSL,Beltran,Anthony,D,220000,230950
RSL,Dunk,Reagan,D,53004,53004
RSL,Fernandez,Eduardo,GK,66150,66150
RSL,Glad,Justen,D,225000,246700
RSL,Hernandez,Jose,M,53004,56379
RSL,Holness,Omar,F,110000,133500
RSL,Horst,David,D,110004,115004
RSL,Lennon,Brooks,F,53004,53004
RSL,Maund,Aaron,D,165000,174437.5
RSL,Movsisyan,Yura,F,1750000,1973750
RSL,Mulholland,Luke,M,172500,172500
RSL,Phillips,Demar,D,155004,162837.33
RSL,Plata,Joao,F,350000.04,400000.04
RSL,Rimando,Nick,GK,450000,470000
RSL,Rusnak,Albert,M,825000,882812.5
RSL,Saucedo,Sebastian,M,90000,100500
RSL,Schmidt,Justin,D,53004,53004
RSL,Schuler,Chris,D,127500,132500
RSL,Silva,Luis,M-F,200004,208670.67
RSL,Sunday,Stephen,M,240000,253000
RSL,Van Oekel,Matt,GK,96000,96000
RSL,Velazco,Ricardo,F,65633.4,65633.4
RSL,Wingert,Chris,D,134004,145394
SEA,Adekoya,Seyi,F,53004,53004
SEA,Alfaro,Tony,D,54075,54075
SEA,Alonso,Osvaldo,M,1100000,1141667
SEA,Bruin,Will,F,325000,326666.67
SEA,Delem,Jordy,M,53004,53004
SEA,Dempsey,Clint,F,3200000,3892933.5
SEA,Evans,Brad,D-M,300000,338501.25
SEA,Fernandez,Alvaro,M,264000,294000
SEA,Fisher,Oniel,M-D,65625,65625
SEA,Frei,Stefan,GK,250000,256250
SEA,Jones,Joevin,D,90000,96166.67
SEA,Kovar,Aaron,M,66150,66350
SEA,Lodeiro,Nicolas,M,1371428.57,1743428.57
SEA,Mansaray,Victor,F,65625,69125
SEA,Marshall,Chad,D,350000,366250
SEA,Mathers,Zach,M,53004,53004
SEA,Meredith,Bryan,GK,66150,66150
SEA,Miller,Tyler,GK,65633.4,65633.4
SEA,Morris,Jordan,F,225000,237500
SEA,Roldan,Cristian,M,115000,137000
SEA,Shipp,Harrison,M,144999.96,144999.96
SEA,Svensson,Gustav,M,170000.04,170000.04
SEA,Tolo,Nouhou,D,52999.92,52999.92
SEA,Torres,Roman,D,433000,508812.5
SEA,Wingo,Henry,D-M,53004,53004
SJ,Alashe,Fatai,M,98175,114425
SJ,Amarikwa,Quincy,F,256500,270166.67
SJ,Barrera,Leandro,F,100000,100000
SJ,Bernardez,Victor,D,225000,266600
SJ,Bersano,Matt,GK,65004,65004
SJ,Bingham,David,GK,190000,197750
SJ,Cato,Cordell,M,137000,138666.67
SJ,Ceren,Darwin,M,200000,249375
SJ,Colvey,Kip,D,54075,54075
SJ,Cummings,Harold,D,249996,300662.67
SJ,Dawkins,Simon,M,800000,800000
SJ,Francis,Shaun,D,115000,123333.33
SJ,Godoy,Anibal,M,229992,256242
SJ,Hoesen,Danny,F,425004,503129
SJ,Hyka,Jahmir,M,470004,520004
SJ,Imperiale,Andres,D,105000,107500
SJ,Jungwirth,Florian,D-M,450000,516667.07
SJ,Lima,Nick,D,80004,86208.03
SJ,Mfeka,Lindo,M-F,53004,53004
SJ,Pelosi,Marc,M,65004,75004
SJ,Salinas,Shea,M,185000,185000
SJ,Sarkodie,Kofi,D,135000,140000
SJ,Silva,Matheus,M,65000,65000
SJ,Tarbell,Andrew,GK,80000,94000
SJ,Thompson,Tommy,M,150000,155000
SJ,Urena,Marco,F,275004,289420.67
SJ,Wondolowski,Chris,F,800000,800000
SJ,Wynne,Marvell,,245808,257058
SJ,Yueill,Jackson,M,124992,175992
TOR,Alseth,Oyvind,M-D,53004,53004
TOR,Altidore,Jozy,F,4875000,4875000
TOR,Aubrey,Brandon,D,75000,93750
TOR,Beitashour,Steven,D,250000,264000
TOR,Bono,Alex,GK,70000,90200
TOR,Bradley,Michael,M,6000000,6500000
TOR,Camargo,Sergio,M,65004,65004
TOR,Chapman,Jay,M,90000,108500
TOR,Cheyrou,Benoit,M,65004,65004
TOR,Cooper,Armando,M,189000,202333.33
TOR,Delgado,Marco,M,210000,210000
TOR,Edwards,Raheem,F,53004,53004
TOR,Endoh,Tsubasa,F,54075,54075
TOR,Giovinco,Sebastian,F,5600000,7115555.67
TOR,Hagglund,Nick,D,100008,109633
TOR,Hamilton,Jordan,F,69457.5,81957.5
TOR,Hernandez,Jason,D,65004,65004
TOR,Irwin,Clint,GK,200004,211316.7
TOR,Mavinga,Chris,D,265008,300691.6
TOR,Moor,Drew,D,246750,261750
TOR,Morgan,Ashtone,D,100008,101508
TOR,Morrow,Justin,D,210000,226666.67
TOR,Osorio,Jonathan,M,191762.5,200237.13
TOR,Pais,Mark,GK,65004,65004
TOR,Ricketts,Tosaint,F,180000,193166.67
TOR,Vazquez,Victor,M,630000,700000
TOR,Zavaleta,Eriq,D,102850,133450
VAN,Adekugbe,Samuel,D,80000,85000
VAN,Bolanos,Christian,M,250000,253500
VAN,Bustos,Marco,M,65625,70475
VAN,Davies,Alphonso,M,65000,65000
VAN,de Jong,Marcel,D-M,140000,140000
VAN,Dean,Christian,D,121000,202000
VAN,Edgar,David,D,175000,183833.33
VAN,Flores,Deybi,M,66000,71885
VAN,Froese,Kianz,M,69300,73800
VAN,Greig,Kyle,F,65004,66849
VAN,Harvey,Jordan,D,180000,180000
VAN,Hurtado,Erik,F/M,125000,131250
VAN,Jacobson,Andrew,M,150000,175000
VAN,Laba,Matias,M,725000,885500
VAN,Levis,Brett,D,65000,67500
VAN,McKendry,Ben,M,65000,65000
VAN,Mezquida,Nicolas,M-F,120000,120000
VAN,Montero,Fredy,F,1400000.04,1800000.04
VAN,Nerwinski,Jake,D,65004,65004
VAN,Ousted,David,GK,360000,378933.33
VAN,Parker,Tim,D,80850,99600
VAN,Reyna,Yordy,M-F,440000.04,533700.04
VAN,Richey,Spencer,GK,65004,65004
VAN,Rosales,Mauro,M,65004,65004
VAN,Seiler,Cole,D,54075,54075
VAN,Shea,Brek,M-D,625000,670000
VAN,Tchani,Tony,M,275000,308333.33
VAN,Techera,Cristian,M,352000,377000
VAN,Teibert,Russell,M,126500,194000
VAN,Tornaghi,Paolo,GK,80000,80000
VAN,Waston,Kendall,D,350000,368125
,,,,,
VAN,Williams,Sheanon,D,175000,184000