gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
FEMALE,group C,some college, free/reduced,COMPLETED,63%,73%,71%
FEMALE,group B,bachelor's degree, free/reduced,NONE,77%,85%,87%
MALE,group C,some college, standard,NONE,73%,74%,61%
MALE,group D,associate's degree, standard,COMPLETED,81%,72%,77%
FEMALE,group C,high school, free/reduced,NONE,66%,76%,68%
MALE,group D,associate's degree, free/reduced,NONE,52%,57%,50%
FEMALE,group C,some college, standard,NONE,69%,78%,76%
FEMALE,group C,associate's degree, standard,COMPLETED,65%,84%,84%
FEMALE,group D,high school, standard,COMPLETED,69%,77%,78%
FEMALE,group B,some college, standard,COMPLETED,50%,64%,66%
FEMALE,group E,some college, standard,COMPLETED,73%,78%,76%
FEMALE,group C,some high school, standard,COMPLETED,70%,82%,76%
MALE,group D,associate's degree, free/reduced,NONE,81%,75%,78%
MALE,group D,some college, free/reduced,NONE,63%,61%,60%
FEMALE,group D,high school, standard,NONE,67%,72%,74%
MALE,group B,high school, standard,NONE,60%,68%,60%
MALE,group B,high school, standard,NONE,62%,55%,54%
FEMALE,group C,some high school, free/reduced,COMPLETED,29%,40%,44%
MALE,group B,some college, standard,COMPLETED,62%,66%,68%
FEMALE,group E,master's degree, standard,COMPLETED,94%,99%,100%
MALE,group E,some college, standard,COMPLETED,85%,75%,68%
MALE,group D,associate's degree, free/reduced,NONE,77%,78%,73%
MALE,group A,high school, free/reduced,NONE,53%,58%,44%
MALE,group E,some college, free/reduced,NONE,93%,90%,83%
FEMALE,group C,associate's degree, standard,NONE,49%,53%,53%
FEMALE,group E,associate's degree, free/reduced,NONE,73%,76%,78%
FEMALE,group C,bachelor's degree, free/reduced,COMPLETED,66%,74%,81%
FEMALE,group D,associate's degree, standard,NONE,77%,77%,73%
FEMALE,group C,some high school, standard,NONE,49%,63%,56%
FEMALE,group D,some college, free/reduced,NONE,79%,89%,86%
FEMALE,group C,associate's degree, standard,COMPLETED,75%,82%,90%
FEMALE,group A,bachelor's degree, standard,NONE,59%,72%,70%
FEMALE,group D,associate's degree, standard,COMPLETED,57%,78%,79%
MALE,group C,high school, free/reduced,NONE,66%,66%,59%
FEMALE,group E,bachelor's degree, standard,COMPLETED,79%,81%,82%
FEMALE,group B,some high school, standard,NONE,57%,67%,72%
MALE,group A,bachelor's degree, standard,COMPLETED,87%,84%,87%
FEMALE,group D,some college, standard,NONE,63%,64%,67%
FEMALE,group B,some high school, free/reduced,COMPLETED,59%,63%,64%
MALE,group A,bachelor's degree, free/reduced,NONE,62%,72%,65%
MALE,group D,high school, standard,NONE,46%,34%,36%
MALE,group C,some college, standard,NONE,66%,59%,52%
MALE,group D,high school, standard,NONE,89%,87%,79%
FEMALE,group D,associate's degree, free/reduced,COMPLETED,42%,61%,58%
MALE,group C,some college, standard,COMPLETED,93%,84%,90%
FEMALE,group E,some high school, standard,COMPLETED,80%,85%,85%
FEMALE,group D,some college, standard,NONE,98%,100%,99%
MALE,group D,master's degree, standard,NONE,81%,81%,84%
FEMALE,group B,some high school, standard,COMPLETED,60%,70%,74%
FEMALE,group B,associate's degree, free/reduced,COMPLETED,76%,94%,87%
MALE,group C,associate's degree, standard,COMPLETED,73%,78%,72%
FEMALE,group C,associate's degree, standard,COMPLETED,96%,96%,99%
FEMALE,group C,high school, standard,NONE,76%,76%,74%
MALE,group E,associate's degree, free/reduced,COMPLETED,91%,73%,80%
FEMALE,group C,some college, free/reduced,NONE,62%,72%,70%
MALE,group D,some high school, free/reduced,COMPLETED,55%,59%,59%
FEMALE,group B,some high school, free/reduced,COMPLETED,74%,90%,88%
MALE,group C,high school, standard,NONE,50%,48%,42%
MALE,group B,some college, standard,NONE,47%,43%,41%
MALE,group E,some college, standard,COMPLETED,81%,74%,71%
FEMALE,group E,associate's degree, standard,COMPLETED,65%,75%,77%
MALE,group E,some high school, standard,COMPLETED,68%,51%,57%
FEMALE,group D,high school, free/reduced,NONE,73%,92%,84%
MALE,group C,some college, standard,NONE,53%,39%,37%
FEMALE,group B,associate's degree, free/reduced,COMPLETED,68%,77%,80%
MALE,group A,some high school, free/reduced,NONE,55%,46%,43%
FEMALE,group C,some college, standard,COMPLETED,87%,89%,94%
MALE,group D,some high school, standard,NONE,55%,47%,44%
FEMALE,group E,some college, free/reduced,NONE,53%,58%,57%
MALE,group C,master's degree, standard,NONE,67%,57%,59%
MALE,group C,associate's degree, standard,NONE,92%,79%,84%
FEMALE,group B,some college, free/reduced,COMPLETED,53%,66%,73%
MALE,group D,associate's degree, standard,NONE,81%,71%,73%
MALE,group C,high school, free/reduced,NONE,61%,60%,55%
MALE,group D,bachelor's degree, standard,NONE,80%,73%,72%
FEMALE,group A,associate's degree, free/reduced,NONE,37%,57%,56%
FEMALE,group C,high school, standard,NONE,81%,84%,82%
FEMALE,group C,associate's degree, standard,COMPLETED,59%,73%,72%
MALE,group B,some college, free/reduced,NONE,55%,55%,47%
MALE,group D,associate's degree, standard,NONE,72%,79%,74%
MALE,group D,high school, standard,NONE,69%,75%,71%
MALE,group C,some college, standard,NONE,69%,64%,68%
FEMALE,group C,bachelor's degree, free/reduced,NONE,50%,60%,59%
MALE,group B,some college, standard,COMPLETED,87%,84%,86%
MALE,group D,some high school, standard,COMPLETED,71%,69%,68%
MALE,group E,some college, standard,NONE,68%,72%,65%
MALE,group C,master's degree, free/reduced,COMPLETED,79%,77%,75%
FEMALE,group C,some high school, standard,COMPLETED,77%,90%,85%
MALE,group C,associate's degree, free/reduced,NONE,58%,55%,53%
FEMALE,group E,associate's degree, standard,NONE,84%,95%,92%
MALE,group D,some college, standard,NONE,55%,58%,52%
MALE,group E,bachelor's degree, free/reduced,COMPLETED,70%,68%,72%
FEMALE,group D,some college, free/reduced,COMPLETED,52%,59%,65%
MALE,group B,some college, standard,COMPLETED,69%,77%,77%
FEMALE,group C,high school, free/reduced,NONE,53%,72%,64%
FEMALE,group D,some high school, standard,NONE,48%,58%,54%
MALE,group D,some high school, standard,COMPLETED,78%,81%,86%
FEMALE,group B,high school, standard,NONE,62%,62%,63%
MALE,group D,some college, standard,NONE,60%,63%,59%
FEMALE,group B,high school, standard,NONE,74%,72%,72%
FEMALE,group C,high school, standard,COMPLETED,58%,75%,77%
MALE,group B,high school, standard,COMPLETED,76%,62%,60%
FEMALE,group D,some high school, standard,NONE,68%,71%,75%
MALE,group A,some college, free/reduced,NONE,58%,60%,57%
MALE,group B,high school, standard,NONE,52%,48%,49%
MALE,group D,bachelor's degree, standard,NONE,75%,73%,74%
FEMALE,group B,some high school, free/reduced,COMPLETED,52%,67%,72%
FEMALE,group C,bachelor's degree, free/reduced,NONE,62%,78%,79%
MALE,group B,some college, standard,NONE,66%,65%,60%
FEMALE,group B,some high school, free/reduced,NONE,49%,58%,55%
FEMALE,group B,high school, standard,NONE,66%,72%,70%
FEMALE,group C,some college, free/reduced,NONE,35%,44%,43%
FEMALE,group A,some college, standard,COMPLETED,72%,79%,82%
MALE,group E,associate's degree, standard,COMPLETED,94%,85%,82%
FEMALE,group D,associate's degree, free/reduced,NONE,46%,56%,57%
FEMALE,group B,master's degree, standard,NONE,77%,90%,84%
FEMALE,group B,high school, free/reduced,COMPLETED,76%,85%,82%
FEMALE,group C,associate's degree, standard,COMPLETED,52%,59%,62%
MALE,group C,bachelor's degree, standard,COMPLETED,91%,81%,79%
FEMALE,group B,some high school, standard,COMPLETED,32%,51%,44%
FEMALE,group E,some high school, free/reduced,NONE,72%,79%,77%
FEMALE,group B,some college, standard,NONE,19%,38%,32%
MALE,group C,associate's degree, free/reduced,NONE,68%,65%,61%
FEMALE,group C,master's degree, free/reduced,NONE,52%,65%,61%
FEMALE,group B,high school, standard,NONE,48%,62%,60%
FEMALE,group D,some college, free/reduced,NONE,60%,66%,70%
MALE,group D,high school, free/reduced,NONE,66%,74%,69%
MALE,group E,some high school, standard,COMPLETED,89%,84%,77%
FEMALE,group B,high school, standard,NONE,42%,52%,51%
FEMALE,group E,associate's degree, free/reduced,COMPLETED,57%,68%,73%
MALE,group D,high school, standard,NONE,70%,70%,70%
FEMALE,group E,associate's degree, free/reduced,NONE,70%,84%,81%
MALE,group E,some college, standard,NONE,69%,60%,54%
FEMALE,group C,associate's degree, standard,NONE,52%,55%,57%
MALE,group C,some high school, standard,COMPLETED,67%,73%,68%
MALE,group C,some high school, standard,COMPLETED,76%,80%,73%
FEMALE,group E,associate's degree, standard,NONE,87%,94%,95%
FEMALE,group B,some college, standard,NONE,82%,85%,87%
FEMALE,group C,some college, standard,NONE,73%,76%,78%
MALE,group A,some college, free/reduced,NONE,75%,81%,74%
FEMALE,group D,some college, free/reduced,NONE,64%,74%,75%
FEMALE,group E,high school, free/reduced,NONE,41%,45%,40%
MALE,group C,high school, standard,NONE,90%,75%,69%
MALE,group B,bachelor's degree, standard,NONE,59%,54%,51%
MALE,group A,some high school, standard,NONE,51%,31%,36%
MALE,group A,high school, free/reduced,NONE,45%,47%,49%
FEMALE,group C,master's degree, standard,COMPLETED,54%,64%,67%
MALE,group E,some high school, standard,COMPLETED,87%,84%,76%
FEMALE,group C,high school, standard,NONE,72%,80%,83%
MALE,group B,some high school, standard,COMPLETED,94%,86%,87%
FEMALE,group A,bachelor's degree, standard,NONE,45%,59%,64%
MALE,group D,bachelor's degree, free/reduced,COMPLETED,61%,70%,76%
FEMALE,group B,high school, free/reduced,NONE,60%,72%,68%
FEMALE,group C,some high school, standard,NONE,77%,91%,88%
FEMALE,group A,some high school, standard,COMPLETED,85%,90%,92%
FEMALE,group D,bachelor's degree, free/reduced,NONE,78%,90%,93%
MALE,group E,some college, free/reduced,COMPLETED,49%,52%,51%
FEMALE,group B,high school, free/reduced,NONE,71%,87%,82%
FEMALE,group C,some high school, free/reduced,NONE,48%,58%,52%
MALE,group C,high school, standard,NONE,62%,67%,58%
FEMALE,group C,associate's degree, free/reduced,COMPLETED,56%,68%,70%
FEMALE,group C,some high school, standard,NONE,65%,69%,76%
FEMALE,group D,some high school, free/reduced,COMPLETED,69%,86%,81%
MALE,group B,some high school, standard,NONE,68%,54%,53%
FEMALE,group A,some college, free/reduced,NONE,61%,60%,57%
FEMALE,group C,bachelor's degree, free/reduced,COMPLETED,74%,86%,89%
MALE,group A,bachelor's degree, standard,NONE,64%,60%,58%
FEMALE,group B,high school, standard,COMPLETED,77%,82%,89%
MALE,group B,some college, standard,NONE,58%,50%,45%
FEMALE,group C,high school, standard,COMPLETED,60%,64%,74%
MALE,group E,high school, standard,NONE,73%,64%,57%
FEMALE,group A,high school, standard,COMPLETED,75%,82%,79%
MALE,group B,associate's degree, free/reduced,COMPLETED,58%,57%,53%
FEMALE,group C,associate's degree, standard,NONE,66%,77%,73%
FEMALE,group D,high school, free/reduced,NONE,39%,52%,46%
MALE,group C,some high school, standard,NONE,64%,58%,51%
FEMALE,group B,high school, free/reduced,COMPLETED,23%,44%,36%
MALE,group B,some college, free/reduced,COMPLETED,74%,77%,76%
FEMALE,group D,some high school, free/reduced,COMPLETED,40%,65%,64%
MALE,group E,master's degree, standard,NONE,90%,85%,84%
MALE,group C,master's degree, standard,COMPLETED,91%,85%,85%
MALE,group D,high school, standard,NONE,64%,54%,50%
FEMALE,group C,high school, standard,NONE,59%,72%,68%
MALE,group D,associate's degree, standard,NONE,80%,75%,69%
MALE,group C,master's degree, standard,NONE,71%,67%,67%
FEMALE,group A,high school, standard,NONE,61%,68%,63%
FEMALE,group E,some college, standard,NONE,87%,85%,93%
MALE,group E,some high school, standard,NONE,82%,67%,61%
MALE,group C,some high school, standard,NONE,62%,64%,55%
FEMALE,group B,bachelor's degree, standard,NONE,97%,97%,96%
MALE,group B,some college, free/reduced,NONE,75%,68%,65%
FEMALE,group C,bachelor's degree, standard,NONE,65%,79%,81%
MALE,group B,high school, standard,COMPLETED,52%,49%,46%
MALE,group C,associate's degree, free/reduced,NONE,87%,73%,72%
FEMALE,group C,associate's degree, standard,NONE,53%,62%,53%
FEMALE,group E,master's degree, free/reduced,NONE,81%,86%,87%
MALE,group D,bachelor's degree, free/reduced,COMPLETED,39%,42%,38%
FEMALE,group C,some college, standard,COMPLETED,71%,71%,80%
MALE,group C,associate's degree, standard,NONE,97%,93%,91%
MALE,group D,some college, standard,COMPLETED,82%,82%,88%
MALE,group C,high school, free/reduced,NONE,59%,53%,52%
MALE,group B,associate's degree, standard,NONE,61%,42%,41%
MALE,group E,associate's degree, free/reduced,COMPLETED,78%,74%,72%
MALE,group C,associate's degree, free/reduced,NONE,49%,51%,51%
MALE,group B,high school, standard,NONE,59%,58%,47%
FEMALE,group C,some college, standard,COMPLETED,70%,72%,76%
MALE,group B,associate's degree, standard,COMPLETED,82%,84%,78%
MALE,group E,associate's degree, free/reduced,NONE,90%,90%,82%
FEMALE,group C,bachelor's degree, free/reduced,NONE,43%,62%,61%
MALE,group C,some college, free/reduced,NONE,80%,64%,66%
MALE,group D,some college, standard,NONE,81%,82%,84%
MALE,group C,some high school, standard,NONE,57%,61%,54%
FEMALE,group D,some high school, standard,NONE,59%,72%,80%
FEMALE,group D,associate's degree, standard,NONE,64%,76%,74%
MALE,group C,bachelor's degree, standard,COMPLETED,63%,64%,66%
FEMALE,group E,bachelor's degree, standard,COMPLETED,71%,70%,70%
FEMALE,group B,high school, free/reduced,NONE,64%,73%,71%
MALE,group D,bachelor's degree, free/reduced,NONE,55%,46%,44%
FEMALE,group E,associate's degree, standard,NONE,51%,51%,54%
FEMALE,group C,associate's degree, standard,COMPLETED,62%,76%,80%
FEMALE,group E,associate's degree, standard,COMPLETED,93%,100%,95%
MALE,group C,high school, free/reduced,NONE,54%,72%,59%
FEMALE,group D,some college, free/reduced,NONE,69%,65%,74%
MALE,group D,high school, free/reduced,NONE,44%,51%,48%
FEMALE,group E,some college, standard,COMPLETED,86%,85%,91%
FEMALE,group E,associate's degree, standard,NONE,85%,92%,85%
FEMALE,group A,master's degree, free/reduced,NONE,50%,67%,73%
MALE,group D,some high school, standard,COMPLETED,88%,74%,75%
FEMALE,group E,associate's degree, standard,NONE,59%,62%,69%
FEMALE,group E,some high school, free/reduced,NONE,32%,34%,38%
MALE,group B,high school, free/reduced,NONE,36%,29%,27%
FEMALE,group B,some high school, free/reduced,COMPLETED,63%,78%,79%
MALE,group D,associate's degree, standard,COMPLETED,67%,54%,63%
FEMALE,group D,some high school, standard,COMPLETED,65%,78%,82%
MALE,group D,master's degree, standard,NONE,85%,84%,89%
FEMALE,group C,master's degree, standard,NONE,73%,78%,74%
FEMALE,group A,high school, free/reduced,COMPLETED,34%,48%,41%
FEMALE,group D,bachelor's degree, free/reduced,COMPLETED,93%,100%,100%
FEMALE,group D,some high school, free/reduced,NONE,67%,84%,84%
MALE,group D,some college, standard,NONE,88%,77%,77%
MALE,group B,high school, standard,NONE,57%,48%,51%
FEMALE,group D,some college, standard,COMPLETED,79%,84%,91%
FEMALE,group C,bachelor's degree, free/reduced,NONE,67%,75%,72%
MALE,group E,bachelor's degree, standard,COMPLETED,70%,64%,70%
MALE,group D,bachelor's degree, free/reduced,NONE,50%,42%,48%
FEMALE,group A,some college, standard,NONE,69%,84%,82%
FEMALE,group C,bachelor's degree, standard,COMPLETED,52%,61%,66%
FEMALE,group C,bachelor's degree, free/reduced,COMPLETED,47%,62%,66%
FEMALE,group B,associate's degree, free/reduced,NONE,46%,61%,55%
FEMALE,group E,some college, standard,NONE,68%,70%,66%
MALE,group E,bachelor's degree, standard,COMPLETED,100%,100%,100%
FEMALE,group C,high school, standard,NONE,44%,61%,52%
FEMALE,group C,associate's degree, standard,COMPLETED,57%,77%,80%
MALE,group B,some college, standard,COMPLETED,91%,96%,91%
MALE,group D,high school, free/reduced,NONE,69%,70%,67%
FEMALE,group C,high school, free/reduced,NONE,35%,53%,46%
MALE,group D,high school, standard,NONE,72%,66%,66%
FEMALE,group B,associate's degree, free/reduced,NONE,54%,65%,65%
MALE,group D,high school, free/reduced,NONE,74%,70%,69%
MALE,group E,some high school, standard,COMPLETED,74%,64%,60%
MALE,group E,associate's degree, free/reduced,NONE,64%,56%,52%
FEMALE,group D,high school, free/reduced,COMPLETED,65%,61%,71%
MALE,group E,associate's degree, free/reduced,COMPLETED,46%,43%,44%
FEMALE,group C,some high school, free/reduced,NONE,48%,56%,51%
MALE,group C,some college, free/reduced,COMPLETED,67%,74%,70%
MALE,group D,some college, free/reduced,NONE,62%,57%,62%
MALE,group D,associate's degree, free/reduced,COMPLETED,61%,71%,73%
MALE,group C,bachelor's degree, free/reduced,COMPLETED,70%,75%,74%
MALE,group C,associate's degree, standard,COMPLETED,98%,87%,90%
MALE,group D,some college, free/reduced,NONE,70%,63%,58%
MALE,group A,associate's degree, standard,NONE,67%,57%,53%
FEMALE,group E,high school, free/reduced,NONE,57%,58%,57%
MALE,group D,some college, standard,COMPLETED,85%,81%,85%
MALE,group D,some high school, standard,COMPLETED,77%,68%,69%
MALE,group C,master's degree, free/reduced,COMPLETED,72%,66%,72%
FEMALE,group D,master's degree, standard,NONE,78%,91%,96%
MALE,group C,high school, standard,NONE,81%,66%,64%
MALE,group A,some high school, free/reduced,COMPLETED,61%,62%,61%
FEMALE,group B,high school, standard,NONE,58%,68%,61%
FEMALE,group C,associate's degree, standard,NONE,54%,61%,58%
MALE,group B,high school, standard,NONE,82%,82%,80%
FEMALE,group D,some college, free/reduced,NONE,49%,58%,60%
MALE,group B,some high school, free/reduced,COMPLETED,49%,50%,52%
FEMALE,group E,high school, free/reduced,COMPLETED,57%,75%,73%
MALE,group E,high school, standard,NONE,94%,73%,71%
FEMALE,group D,some college, standard,COMPLETED,75%,77%,83%
FEMALE,group E,some high school, free/reduced,NONE,74%,74%,72%
MALE,group C,high school, standard,COMPLETED,58%,52%,54%
FEMALE,group C,some college, standard,NONE,62%,69%,69%
MALE,group E,associate's degree, standard,NONE,72%,57%,62%
MALE,group C,some college, standard,NONE,84%,87%,81%
FEMALE,group D,master's degree, standard,NONE,92%,100%,100%
FEMALE,group D,high school, standard,NONE,45%,63%,59%
MALE,group C,high school, standard,NONE,75%,81%,71%
FEMALE,group A,some college, standard,NONE,56%,58%,64%
FEMALE,group D,some high school, free/reduced,NONE,48%,54%,53%
FEMALE,group E,associate's degree, standard,NONE,100%,100%,100%
FEMALE,group C,some high school, free/reduced,COMPLETED,65%,76%,75%
MALE,group D,some college, standard,NONE,72%,57%,58%
FEMALE,group D,some college, standard,NONE,62%,70%,72%
MALE,group A,some high school, standard,COMPLETED,66%,68%,64%
MALE,group C,some college, standard,NONE,63%,63%,60%
FEMALE,group E,associate's degree, standard,NONE,68%,76%,67%
FEMALE,group B,bachelor's degree, standard,NONE,75%,84%,80%
FEMALE,group D,bachelor's degree, standard,NONE,89%,100%,100%
MALE,group C,some high school, standard,COMPLETED,78%,72%,69%
FEMALE,group A,high school, free/reduced,COMPLETED,53%,50%,60%
FEMALE,group D,some college, free/reduced,NONE,49%,65%,61%
FEMALE,group A,some college, standard,NONE,54%,63%,67%
FEMALE,group C,some college, standard,COMPLETED,64%,82%,77%
MALE,group B,some college, free/reduced,COMPLETED,60%,62%,60%
MALE,group C,associate's degree, standard,NONE,62%,65%,58%
MALE,group D,high school, standard,COMPLETED,55%,41%,48%
FEMALE,group C,associate's degree, standard,NONE,91%,95%,94%
FEMALE,group B,high school, free/reduced,NONE,8%,24%,23%
MALE,group D,some high school, standard,NONE,81%,78%,78%
MALE,group B,some high school, standard,COMPLETED,79%,85%,86%
FEMALE,group A,some college, standard,COMPLETED,78%,87%,91%
FEMALE,group C,some high school, standard,NONE,74%,75%,82%
MALE,group A,high school, standard,NONE,57%,51%,54%
FEMALE,group C,associate's degree, standard,NONE,40%,59%,51%
MALE,group E,some high school, standard,COMPLETED,81%,75%,76%
FEMALE,group A,some high school, free/reduced,NONE,44%,45%,45%
FEMALE,group D,some college, free/reduced,COMPLETED,67%,86%,83%
MALE,group E,high school, free/reduced,COMPLETED,86%,81%,75%
FEMALE,group B,some high school, standard,COMPLETED,65%,82%,78%
FEMALE,group D,associate's degree, free/reduced,NONE,55%,76%,76%
FEMALE,group D,bachelor's degree, free/reduced,NONE,62%,72%,74%
MALE,group A,high school, standard,NONE,63%,63%,62%
FEMALE,group E,master's degree, standard,COMPLETED,88%,99%,95%
MALE,group C,high school, free/reduced,NONE,62%,55%,55%
FEMALE,group C,high school, free/reduced,COMPLETED,59%,71%,65%
FEMALE,group D,some college, standard,COMPLETED,68%,78%,77%
FEMALE,group D,some college, free/reduced,NONE,77%,86%,86%
